timestamp,Whole,AC.central.rear,AC.central.forward,AC.central.Left,AC.central.right,AC.central.monkey,AC.central.Hobs,AC.central.tiger
12/1/2015 8:15:00,56,1234.75,1239.25,1233.5,1238.75,54038,0,0
12/1/2015 8:15:01,56,1238.75,1240.5,1237,1237.25,46899,0,0
12/1/2015 8:15:02,56,1237.25,1238,1235,1236.25,39911,0,0
12/1/2015 8:15:03,56,1236.25,1237,1235.5,1236.5,16379,0,0
12/1/2015 8:15:04,56,1236.25,1240.75,1236.25,1240.5,41109,0,0
12/1/2015 8:15:05,56,1240.25,1241.5,1238.25,1240.5,31077,0,0
12/1/2015 8:15:06,56,1240.25,1241.25,1238.75,1241.25,27170,0,0
12/1/2015 8:15:07,56,1241.25,1242.75,1240.5,1241,33738,0,0
12/1/2015 8:15:08,56,1241.25,1241.75,1239,1240,26773,0,0
12/1/2015 8:15:09,56,1239.75,1241.75,1239,1240,17074,0,0
12/1/2015 8:15:10,56,1239.75,1241.25,1238.25,1239.75,22654,0,0
12/1/2015 8:15:11,56,1239.5,1240,1237.5,1238.75,16442,0,0
12/1/2015 8:15:12,56,1239,1240.5,1238,1239.5,24700,0,0
12/1/2015 8:15:13,56,1239.5,1240.5,1237,1238.25,22218,0,0
12/1/2015 8:15:14,56,1238,1238.25,1236.5,1237.25,20229,0,0
12/1/2015 8:15:15,56,1237.5,1238.5,1237,1238.5,10457,0,0
12/1/2015 8:15:16,56,1238.5,1239,1237.5,1238.25,16763,0,0
12/1/2015 8:15:17,56,1238.25,1238.5,1235.75,1236.75,13910,0,0
12/1/2015 8:15:18,56,1236.5,1237.5,1234.75,1235.25,19089,1159.48,623.48
12/1/2015 8:15:19,56,1235,1235.5,1234.5,1235,20676,1197.24,766.92
12/1/2015 8:15:20,56,1235.25,1238,1235,1237.25,19524,1216.87,879.41
12/1/2015 8:15:21,56,1237,1239,1236.75,1237.75,15624,1227.37,966.4
12/1/2015 8:15:22,56,1238,1238.75,1237,1238,12870,1232.62,1032.96
12/1/2015 8:15:23,56,1238,1238.5,1237,1238.25,13703,1235.19,1083.51
12/1/2015 8:15:24,56,1238.25,1239.5,1237.75,1239,15417,1236.91,1121.86
12/1/2015 8:15:25,56,1239,1239.25,1236.5,1237.5,15322,1237.39,1150.74
12/1/2015 8:15:26,56,1237.5,1238.75,1236.75,1237,10012,1237.57,1172.45
12/1/2015 8:15:27,56,1237.25,1238.25,1236.75,1236.75,8485,1237.54,1188.72
12/1/2015 8:15:28,56,1237,1237.5,1236.25,1236.5,7422,1237.21,1200.84
12/1/2015 8:15:29,56,1236.5,1237.25,1235.5,1237.25,13254,1236.79,1209.83
12/1/2015 8:15:30,56,1237,1237.75,1235.75,1237.5,12598,1236.77,1216.56
12/1/2015 8:15:31,56,1237.5,1238.25,1236.5,1238.25,5924,1237.07,1221.69
12/1/2015 8:15:32,56,1238,1238.75,1237.75,1238.25,8875,1237.66,1225.68
12/1/2015 8:15:33,56,1238.25,1239.5,1237.75,1238.75,12681,1238.14,1228.8
12/1/2015 8:15:34,56,1238.75,1239.25,1238.25,1238.75,9636,1238.45,1231.21
12/1/2015 8:15:35,56,1239,1239,1237.25,1237.5,9555,1238.29,1232.98
12/1/2015 8:15:36,56,1237.75,1237.75,1236.75,1236.75,4450,1237.77,1234.18
12/1/2015 8:15:37,56,1236.75,1238,1236.75,1238,5323,1237.57,1235.03
12/1/2015 8:15:38,56,1238,1238,1237.25,1237.75,1682,1237.6,1235.67
12/1/2015 8:15:39,56,1237.75,1237.75,1236.75,1236.75,7303,1237.42,1236.11
12/1/2015 8:15:40,56,1237,1237.75,1236.75,1237.25,2221,1237.34,1236.41
12/1/2015 8:15:41,56,1237.25,1238,1237,1238,4384,1237.42,1236.67
12/1/2015 8:15:42,56,1238,1238,1236.5,1236.75,5492,1237.33,1236.83
12/1/2015 8:15:43,56,1236.75,1236.75,1234.5,1234.75,11688,1236.48,1236.74
12/1/2015 8:15:44,56,1234.75,1235.75,1234.25,1235.5,15123,1235.74,1236.49
12/1/2015 8:15:45,56,1235.25,1235.75,1232,1232.75,31310,1234.81,1236.07
12/1/2015 8:15:46,56,1232.75,1234.5,1231.75,1232.5,22995,1233.97,1235.55
12/1/2015 8:15:47,56,1232.5,1233.75,1232,1233.5,11680,1233.42,1235.01
12/1/2015 8:15:48,56,1233.5,1233.5,1231.25,1231.75,9716,1232.9,1234.49
12/1/2015 8:15:49,56,1231.75,1232.25,1230.25,1230.25,18658,1232.07,1233.88
12/1/2015 8:15:50,56,1230.25,1232.25,1230,1231.5,17522,1231.6,1233.31
12/1/2015 8:15:51,56,1231.5,1233.25,1231.25,1232.25,15007,1231.92,1232.96
12/1/2015 8:15:52,56,1232.25,1233.5,1231.75,1232.75,10373,1232.27,1232.79
12/1/2015 8:15:53,56,1232.75,1234.75,1232.25,1234.5,12222,1232.89,1232.82
12/1/2015 8:15:54,56,1234.75,1235.75,1233,1234.75,26638,1233.63,1233.02
12/1/2015 8:15:55,56,1234.75,1238.5,1234.5,1238,39183,1235.07,1233.53
12/1/2015 8:15:56,56,1238,1238.25,1235.25,1236,19069,1235.91,1234.13
12/1/2015 8:15:57,56,1236,1236.75,1233.75,1234.25,18391,1235.58,1234.49
12/1/2015 8:15:58,56,1234.25,1235.75,1234,1234.75,9293,1235.23,1234.67
12/1/2015 8:15:59,56,1234.5,1235,1233.5,1234.75,8449,1234.74,1234.69
12/1/2015 8:16:00,56,1234.75,1235.5,1232.25,1232.5,15786,1234.31,1234.59
12/1/2015 8:16:01,56,1232.75,1234.75,1232.5,1233.5,14373,1233.97,1234.44
12/1/2015 8:16:02,56,1233.75,1233.75,1230.75,1230.75,25521,1233.11,1234.1
12/1/2015 8:16:03,56,1230.75,1232,1229.5,1231.75,30549,1231.93,1233.56
12/1/2015 8:16:04,56,1231.75,1234,1230.5,1233,24050,1232.09,1233.19
12/1/2015 8:16:05,56,1232.75,1234.5,1232,1233,18558,1232.67,1233.06
12/1/2015 8:16:06,56,1233,1234.5,1232.25,1233.25,14268,1233.02,1233.05
12/1/2015 8:16:07,56,1233.5,1235.25,1233.25,1233.5,12070,1233.64,1233.2
12/1/2015 8:16:08,56,1233.5,1234,1232,1233.5,11636,1233.32,1233.23
12/1/2015 8:16:09,56,1233.5,1234.75,1232.75,1234,10222,1233.53,1233.3
12/1/2015 8:16:10,56,1234,1235,1232.75,1233,11404,1233.7,1233.4
12/1/2015 8:16:11,56,1233,1235,1232.75,1234,10369,1233.79,1233.5
12/1/2015 8:16:12,56,1234,1236.5,1233.75,1236.25,18464,1234.46,1233.74
12/1/2015 8:16:13,56,1236,1238.75,1236,1238.75,18358,1235.92,1234.28
12/1/2015 8:16:14,56,1238.5,1238.75,1236.5,1237.5,16791,1236.77,1234.91
12/1/2015 8:16:15,56,1237.5,1239.75,1237.5,1239.5,20252,1237.7,1235.6
12/1/2015 8:16:16,56,1239.5,1241,1239.25,1241,29136,1238.91,1236.43
12/1/2015 8:16:17,56,1241,1241.5,1239.75,1241.5,33554,1239.77,1237.27
12/1/2015 8:16:18,56,1241.25,1241.5,1239.5,1240.75,25442,1240.13,1237.98
12/1/2015 8:16:19,56,1241,1241.25,1240.25,1240.5,14708,1240.44,1238.6
12/1/2015 8:16:20,56,1240.5,1241.5,1240,1241.25,17346,1240.6,1239.1
12/1/2015 8:16:21,56,1245.5,1246.75,1244.5,1246.25,37152,1243.11,1240.1
12/1/2015 8:16:22,56,1246.25,1247.75,1245.5,1247.75,24303,1244.87,1241.29
12/1/2015 8:16:23,56,1247.5,1249.25,1247.25,1248,35135,1246.56,1242.61
12/1/2015 8:16:24,56,1248,1249.75,1247.5,1249.25,26649,1247.59,1243.85
12/1/2015 8:16:25,56,1249,1249.75,1247.75,1249.5,26292,1248.17,1244.93
12/1/2015 8:16:26,56,1249.5,1250,1248.5,1249.75,23875,1248.71,1245.88
12/1/2015 8:16:27,56,1249.5,1250.25,1247.75,1248.5,33340,1248.86,1246.62
12/1/2015 8:16:28,56,1248.5,1249.75,1248,1249,12827,1248.87,1247.18
12/1/2015 8:16:29,56,1249,1250.5,1248.5,1250,19142,1249.18,1247.68
12/1/2015 8:16:30,56,1250,1251.5,1250,1250.5,26331,1249.97,1248.25
12/1/2015 8:16:31,56,1250.75,1250.75,1249.5,1249.75,13471,1250.05,1248.7
12/1/2015 8:16:32,56,1250,1250.5,1249,1250.25,12954,1249.9,1249
12/1/2015 8:16:33,56,1250.25,1251.5,1249.5,1251.5,12608,1250.2,1249.3
12/1/2015 8:16:34,56,1251.5,1252.25,1250.75,1251.5,24609,1250.85,1249.69
12/1/2015 8:16:35,56,1251.25,1254.75,1251.25,1253.75,45155,1251.92,1250.25
12/1/2015 8:16:36,56,1253.75,1255,1253.25,1253.25,36359,1253.02,1250.94
12/1/2015 8:16:37,56,1253.5,1254.75,1253.25,1254,16232,1253.51,1251.58
12/1/2015 8:16:38,56,1253.75,1254,1252.75,1253.25,10822,1253.44,1252.05
12/1/2015 8:16:39,56,1253.25,1254.25,1253,1254,15853,1253.53,1252.42
12/1/2015 8:16:40,56,1253.75,1254,1253.25,1253.5,10232,1253.58,1252.71
12/1/2015 8:16:41,56,1253.25,1254.25,1253.25,1253.5,12062,1253.66,1252.95
12/1/2015 8:16:42,56,1253.5,1255.25,1253.25,1254.5,18583,1253.96,1253.2
12/1/2015 8:16:43,56,1254.5,1255,1254,1254,5956,1254.23,1253.46
12/1/2015 8:16:44,56,1254,1254.5,1253.25,1253.5,14036,1254.05,1253.61
12/1/2015 8:16:45,56,1253.75,1253.75,1252,1252.5,17256,1253.46,1253.57
12/1/2015 8:16:46,56,1252.25,1253,1252,1252.5,10343,1252.98,1253.42
12/1/2015 8:16:47,56,1252.25,1253,1251.5,1251.5,14670,1252.62,1253.22
12/1/2015 8:16:48,56,1251.5,1252.75,1251.5,1252.25,7583,1252.37,1253.01
12/1/2015 8:16:49,56,1252.5,1253.75,1252.5,1253,8980,1252.75,1252.94
12/1/2015 8:16:50,56,1253,1253.75,1252.75,1253.5,4487,1253,1252.96
12/1/2015 8:16:51,56,1253.5,1253.75,1251.75,1252.75,12916,1252.87,1252.94
12/1/2015 8:16:52,56,1253,1253.25,1252.25,1253.25,4954,1252.81,1252.91
12/1/2015 8:16:53,56,1253.25,1253.5,1252.25,1253,4718,1252.84,1252.89
12/1/2015 8:16:54,56,1253,1253.25,1252,1252.5,6256,1252.73,1252.85
12/1/2015 8:16:55,56,1252.5,1253,1252.25,1252.75,4253,1252.68,1252.81
12/1/2015 8:16:56,56,1253,1253.25,1252.5,1253,6779,1252.77,1252.8
12/1/2015 8:16:57,56,1253,1253.75,1252.75,1253.75,7814,1253.01,1252.85
12/1/2015 8:16:58,56,1253.75,1253.75,1253,1253.75,3316,1253.19,1252.94
12/1/2015 8:16:59,56,1253.75,1254,1253,1253.25,7239,1253.35,1253.04
12/1/2015 8:17:00,56,1253.5,1253.75,1253.25,1253.25,2724,1253.41,1253.11
12/1/2015 8:17:01,56,1253.5,1254,1253.25,1253.5,4091,1253.52,1253.21
12/1/2015 8:17:02,56,1253.75,1253.75,1252.25,1252.5,5513,1253.26,1253.23
12/1/2015 8:17:03,56,1252.75,1253,1251.75,1252,9015,1252.82,1253.12
12/1/2015 8:17:04,56,1252,1252.75,1251.5,1252.25,4105,1252.47,1252.96
12/1/2015 8:17:05,56,1252.5,1253,1252.25,1252.75,1445,1252.55,1252.86
12/1/2015 8:17:06,56,1252.75,1252.75,1251.75,1251.75,3728,1252.4,1252.74
12/1/2015 8:17:07,56,1251.75,1252.5,1251.75,1252.25,3571,1252.26,1252.62
12/1/2015 8:17:08,56,1252.25,1252.5,1251.25,1251.5,8498,1252.07,1252.48
12/1/2015 8:17:09,56,1251.5,1251.75,1249.75,1250.5,17359,1251.41,1252.22
12/1/2015 8:17:10,56,1250.5,1250.75,1249.5,1250.5,11921,1250.77,1251.85
12/1/2015 8:17:11,56,1250.5,1251.75,1250.25,1251.5,9794,1250.88,1251.61
12/1/2015 8:17:12,56,1251.5,1254,1250,1253.75,27010,1251.44,1251.57
12/1/2015 8:17:13,56,1253.5,1253.75,1252.5,1252.75,8081,1252.28,1251.75
12/1/2015 8:17:14,56,1252.75,1254.75,1252.5,1254.25,7915,1252.95,1252.05
12/1/2015 8:17:15,56,1254.5,1257,1254.5,1256.75,40547,1254.35,1252.62
12/1/2015 8:17:16,56,1256.5,1257.25,1255.5,1255.75,17939,1255.36,1253.31
12/1/2015 8:17:17,56,1256,1257,1255.25,1256.25,10412,1255.74,1253.92
12/1/2015 8:17:18,56,1256.5,1258.75,1256.25,1258.5,27886,1256.62,1254.59
12/1/2015 8:17:19,56,1258.5,1259.75,1258,1258.5,31898,1257.75,1255.38
12/1/2015 8:17:20,56,1258.5,1258.75,1257.75,1258.25,12676,1258,1256.04
12/1/2015 8:17:21,56,1258.25,1259.5,1257.75,1258.75,12445,1258.31,1256.61
12/1/2015 8:17:22,56,1259,1261.5,1258,1261.25,26106,1259.03,1257.21
12/1/2015 8:17:23,56,1261,1263.5,1260.5,1263.25,37149,1260.52,1258.04
12/1/2015 8:17:24,56,1263,1264.25,1260.75,1262,35633,1261.51,1258.91
12/1/2015 8:17:25,56,1262.25,1263.75,1261.75,1263.25,15955,1262.13,1259.71
12/1/2015 8:17:26,56,1263.25,1263.5,1262.25,1263.25,10577,1262.5,1260.41
12/1/2015 8:17:27,56,1263,1263.25,1261.75,1262.25,7914,1262.5,1260.93
12/1/2015 8:17:28,56,1262.25,1263,1261.25,1261.5,16068,1262.31,1261.28
12/1/2015 8:17:29,56,1261.25,1263,1261,1263,12669,1262.16,1261.5
12/1/2015 8:17:30,56,1263,1264.75,1262.5,1263.25,18837,1262.89,1261.85
12/1/2015 8:17:31,56,1263.25,1265,1263,1264,24444,1263.45,1262.25
12/1/2015 8:17:32,56,1264,1265.25,1263.75,1264,21066,1263.97,1262.68
12/1/2015 8:17:33,56,1263.75,1266.5,1263.75,1265.5,28230,1264.55,1263.15
12/1/2015 8:17:34,56,1265.5,1267,1265,1266,26263,1264.91,1263.37
12/1/2015 8:17:35,56,1266,1269.5,1266,1269.25,45737,1266.33,1264.11
12/1/2015 8:17:36,56,1269,1270.75,1269,1269.5,36537,1268.1,1265.11
12/1/2015 8:17:37,56,1269.25,1269.5,1266,1266.5,42374,1267.93,1265.81
12/1/2015 8:17:38,56,1266.25,1267.25,1265.5,1266.75,45425,1267.15,1266.15
